run,mode,workload,target,input_tokens,prefill_tps,prefill_seconds,generation_tps,mtp_cycles,mtp_accepts,mtp_accept_pct,adaptive_suspensions,output_sha256
r1,adaptive_before_early_reject,code,2k,1837,397.89,4.617,25.76,16,2,12.5,1,85e1292d19fe7c2841b2f86e68d7e598245c87014ca89057e549778559237eb2
r1,adaptive_before_early_reject,story,2k,2053,506.19,4.056,41.83,129,126,97.7,0,f61428b78b7fe369849beffaf8e7b354c6eceb4af24bfddc2e3265a4f02c1833
r1,adaptive_before_early_reject,json,2k,1615,396.18,4.076,26.52,16,8,50.0,1,8b82174c9afe03ab7f8d1ace39ff242f4ae83a39d8c8f247903c0dd3862125d1
r1,adaptive_before_early_reject,code,8k,7662,374.88,20.439,27.53,16,7,43.8,1,e78358a610e4ac62ee54242b8c690201956696ff8dc9bddc4730af97179f6851
r1,adaptive_before_early_reject,story,8k,8152,360.26,22.628,26.36,16,9,56.2,1,b4370c90928b8d3f53f958353b36c9c1926c68bd1c0ed0ab6b518b55296d7c08
r1,adaptive_before_early_reject,json,8k,6122,313.15,19.550,23.43,16,8,50.0,1,ee0fb68434f86fae0d491fc4b658dd36aec0209010486ae57ef3119d9105a5b8
r1,adaptive_before_early_reject,code,16k,17974,272.16,66.042,21.35,16,2,12.5,1,e0a66a3eb8f9d81cdca1c7dc19bc0915f61d2d796fded120880ab2051c658438
r1,adaptive_before_early_reject,story,16k,16172,283.83,56.978,22.90,16,9,56.2,1,20a510d3788d538453bea4c6dc68719770f248a37dc13f5ea522d7bbcfc0190c
r1,adaptive_before_early_reject,json,16k,13540,279.62,48.423,23.09,16,10,62.5,1,1124266fe13e34e770f735a259b5b07dcbf102171314e30dbe06424f6539aa7e
r2,adaptive_before_early_reject,story,2k,2053,341.78,6.007,31.09,129,126,97.7,0,f61428b78b7fe369849beffaf8e7b354c6eceb4af24bfddc2e3265a4f02c1833
r2,adaptive_before_early_reject,code,8k,7662,314.63,24.352,25.25,16,7,43.8,1,e78358a610e4ac62ee54242b8c690201956696ff8dc9bddc4730af97179f6851
r2,adaptive_before_early_reject,code,16k,17974,308.62,58.240,22.57,16,2,12.5,1,e0a66a3eb8f9d81cdca1c7dc19bc0915f61d2d796fded120880ab2051c658438
r3,adaptive_before_early_reject,code,2k,1837,328.29,5.596,23.12,16,2,12.5,1,85e1292d19fe7c2841b2f86e68d7e598245c87014ca89057e549778559237eb2
r3,adaptive_before_early_reject,story,2k,2053,421.16,4.875,35.95,129,126,97.7,0,f61428b78b7fe369849beffaf8e7b354c6eceb4af24bfddc2e3265a4f02c1833
control,plain,story,2k,2053,368.74,5.568,24.07,0,0,0.0,0,f61428b78b7fe369849beffaf8e7b354c6eceb4af24bfddc2e3265a4f02c1833
control,plain,code,2k,1837,356.39,5.154,24.73,0,0,0.0,0,85e1292d19fe7c2841b2f86e68d7e598245c87014ca89057e549778559237eb2
final,adaptive_early_reject,code,2k,1837,357.89,5.133,24.07,5,0,0.0,1,85e1292d19fe7c2841b2f86e68d7e598245c87014ca89057e549778559237eb2
final,adaptive_early_reject,story,2k,2053,456.46,4.498,37.31,129,126,97.7,0,f61428b78b7fe369849beffaf8e7b354c6eceb4af24bfddc2e3265a4f02c1833
final,adaptive_early_reject,json,2k,1615,356.76,4.527,24.59,5,0,0.0,1,8b82174c9afe03ab7f8d1ace39ff242f4ae83a39d8c8f247903c0dd3862125d1
