heads,context,rows,baseline_ms,tile_ms,speedup,max_abs,exact
16,1,1,0.00612,0.00719,0.850,0,4096/4096
16,1,2,0.01565,0.01508,1.038,0,8192/8192
16,1,5,0.02112,0.01846,1.144,0,20480/20480
16,1,8,0.02813,0.02069,1.359,0,32768/32768
16,7,1,0.02499,0.01939,1.289,0,4096/4096
16,7,2,0.02678,0.02058,1.302,0,8192/8192
16,7,5,0.03279,0.02610,1.257,0,20480/20480
16,7,8,0.03863,0.02658,1.453,0,32768/32768
16,8,1,0.02695,0.02003,1.346,0,4096/4096
16,8,2,0.03235,0.02162,1.496,0,8192/8192
16,8,5,0.03510,0.02585,1.358,0,20480/20480
16,8,8,0.04140,0.03460,1.196,0,32768/32768
16,9,1,0.02874,0.02333,1.232,0,4096/4096
16,9,2,0.03076,0.02272,1.354,0,8192/8192
16,9,5,0.03833,0.02795,1.371,0,20480/20480
16,9,8,0.04671,0.02826,1.653,0,32768/32768
16,128,1,0.26583,0.14110,1.884,0,4096/4096
16,128,2,0.27640,0.14692,1.881,0,8192/8192
16,128,5,0.27244,0.15403,1.769,0,20480/20480
16,128,8,0.28690,0.15619,1.837,0,32768/32768
16,2048,1,1.55690,0.67038,2.322,0,4096/4096
16,2048,2,1.87546,1.07071,1.752,0,8192/8192
16,2048,5,1.91687,1.03460,1.853,0,20480/20480
16,2048,8,1.20764,0.54808,2.203,0,32768/32768
16,3840,1,2.25944,0.94454,2.392,0,4096/4096
16,3840,2,2.18065,1.03935,2.098,0,8192/8192
16,3840,5,1.97256,1.02692,1.921,0,20480/20480
16,3840,8,2.39065,1.03143,2.318,0,32768/32768
24,1,1,0.01287,0.01781,0.723,0,6144/6144
24,1,2,0.01558,0.01580,0.986,0,12288/12288
24,1,5,0.02575,0.02054,1.254,0,30720/30720
24,1,8,0.02837,0.02153,1.318,0,49152/49152
24,7,1,0.02767,0.02020,1.370,0,6144/6144
24,7,2,0.02799,0.02035,1.375,0,12288/12288
24,7,5,0.03674,0.02503,1.468,0,30720/30720
24,7,8,0.04069,0.02755,1.477,0,49152/49152
24,8,1,0.02852,0.02092,1.364,0,6144/6144
24,8,2,0.02875,0.02256,1.274,0,12288/12288
24,8,5,0.03721,0.02583,1.440,0,30720/30720
24,8,8,0.04526,0.02915,1.553,0,49152/49152
24,9,1,0.02890,0.02520,1.147,0,6144/6144
24,9,2,0.03161,0.02372,1.333,0,12288/12288
24,9,5,0.03884,0.02793,1.391,0,30720/30720
24,9,8,0.04649,0.02943,1.580,0,49152/49152
24,128,1,0.27532,0.14190,1.940,0,6144/6144
24,128,2,0.26715,0.14551,1.836,0,12288/12288
24,128,5,0.28280,0.15996,1.768,0,30720/30720
24,128,8,0.30373,0.17247,1.761,0,49152/49152
24,2048,1,1.32457,0.70949,1.867,0,6144/6144
24,2048,2,1.62922,0.93845,1.736,0,12288/12288
24,2048,5,1.50042,0.83082,1.806,0,30720/30720
24,2048,8,1.73363,0.95055,1.824,0,49152/49152
24,3840,1,2.23887,1.16313,1.925,0,6144/6144
24,3840,2,2.70791,1.30367,2.077,0,12288/12288
24,3840,5,2.80487,1.34235,2.090,0,30720/30720
24,3840,8,2.30685,1.20671,1.912,0,49152/49152
