heads,context,rows,baseline_ms,tile_ms,speedup,max_abs,exact
16,1,1,0.01319,0.01560,0.846,0,4096/4096
16,1,2,0.01481,0.01503,0.985,0,8192/8192
16,1,5,0.02217,0.01856,1.195,0,20480/20480
16,1,8,0.02676,0.02350,1.139,0,32768/32768
16,7,1,0.02485,0.02151,1.156,0,4096/4096
16,7,2,0.02801,0.02174,1.288,0,8192/8192
16,7,5,0.03294,0.02499,1.319,0,20480/20480
16,7,8,0.04050,0.02651,1.528,0,32768/32768
16,8,1,0.02677,0.01991,1.345,0,4096/4096
16,8,2,0.02864,0.02431,1.178,0,8192/8192
16,8,5,0.03599,0.02599,1.384,0,20480/20480
16,8,8,0.04658,0.03018,1.543,0,32768/32768
16,9,1,0.02890,0.02370,1.219,0,4096/4096
16,9,2,0.03067,0.02438,1.258,0,8192/8192
16,9,5,0.03896,0.02675,1.456,0,20480/20480
16,9,8,0.04546,0.02798,1.625,0,32768/32768
16,128,1,0.27130,0.14060,1.930,0,4096/4096
16,128,2,0.27063,0.14324,1.889,0,8192/8192
16,128,5,0.27355,0.15313,1.786,0,20480/20480
16,128,8,0.29297,0.15451,1.896,0,32768/32768
16,2048,1,1.50235,0.75323,1.995,0,4096/4096
16,2048,2,1.79247,0.97192,1.844,0,8192/8192
16,2048,5,1.83193,0.96579,1.897,0,20480/20480
16,2048,8,1.59932,0.55081,2.904,0,32768/32768
16,3840,1,2.19489,0.95578,2.296,0,4096/4096
16,3840,2,2.34542,1.18563,1.978,0,8192/8192
16,3840,5,2.32428,1.17124,1.984,0,20480/20480
16,3840,8,2.65211,1.41905,1.869,0,32768/32768
24,1,1,0.01469,0.01542,0.952,0,6144/6144
24,1,2,0.01490,0.02342,0.636,0,12288/12288
24,1,5,0.02541,0.01790,1.420,0,30720/30720
24,1,8,0.02824,0.02099,1.346,0,49152/49152
24,7,1,0.02547,0.02116,1.204,0,6144/6144
24,7,2,0.02678,0.01913,1.400,0,12288/12288
24,7,5,0.03511,0.03353,1.047,0,30720/30720
24,7,8,0.04095,0.02722,1.505,0,49152/49152
24,8,1,0.02807,0.02512,1.118,0,6144/6144
24,8,2,0.02853,0.02469,1.156,0,12288/12288
24,8,5,0.03740,0.02583,1.448,0,30720/30720
24,8,8,0.04462,0.02835,1.574,0,49152/49152
24,9,1,0.03058,0.02338,1.308,0,6144/6144
24,9,2,0.03028,0.02211,1.370,0,12288/12288
24,9,5,0.04481,0.02678,1.673,0,30720/30720
24,9,8,0.04556,0.03076,1.481,0,49152/49152
24,128,1,0.26501,0.13856,1.913,0,6144/6144
24,128,2,0.27319,0.14720,1.856,0,12288/12288
24,128,5,0.28612,0.15644,1.829,0,30720/30720
24,128,8,0.30457,0.16881,1.804,0,49152/49152
24,2048,1,1.59112,0.79269,2.007,0,6144/6144
24,2048,2,1.58011,1.00760,1.568,0,12288/12288
24,2048,5,1.74795,0.86407,2.023,0,30720/30720
24,2048,8,1.70093,0.98683,1.724,0,49152/49152
24,3840,1,2.12298,1.03615,2.049,0,6144/6144
24,3840,2,2.22827,1.08628,2.051,0,12288/12288
24,3840,5,2.37401,1.25243,1.896,0,30720/30720
24,3840,8,2.35847,1.18610,1.988,0,49152/49152
